,Ethylene propylene rubber,Poly(ethylene) + fouling,Poly(ethylene) like,Poly(propylene),Poly(amide),Morphotype 2,Cellulose acetate,PEVA,Poly(styrene),Poly(ethylene),Morphotype 1,accuracy,macro avg,weighted avg
precision,1.0,0.9142857142857143,0.5714285714285714,1.0,1.0,1.0,0.9565217391304348,1.0,1.0,0.8395061728395061,1.0,0.9305555555555556,0.9347038361531116,0.9395150657328597
recall,0.8,0.7804878048780488,1.0,0.9861111111111112,1.0,0.8333333333333334,1.0,0.7222222222222222,1.0,0.9714285714285714,1.0,0.9305555555555556,0.9175984584521171,0.9305555555555556
f1-score,0.888888888888889,0.8421052631578947,0.7272727272727273,0.993006993006993,1.0,0.9090909090909091,0.9777777777777777,0.8387096774193548,1.0,0.9006622516556292,1.0,0.9305555555555556,0.916137680751834,0.9303110675661664
support,10.0,41.0,4.0,72.0,6.0,6.0,22.0,18.0,21.0,70.0,18.0,0.9305555555555556,288.0,288.0
